cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2022,CORP,31055320,,5,0.0113,5,0.0113,215739,1499999.9,924409.4,622507.8,0,1
12/31/2022,CORP,99406069,,3,0.003364,6,0.0226,3081615,3205060,3174198.8,4295033,0,1
12/31/2022,CORP,47290575,,2,0.0014,3,0.0028,0,200000,150000,60837.8,0,1
12/31/2022,CORP,14265451,,3,0.0031,3,0.0031,862519,900172.4,890759.1,389779.3,0,1
12/31/2022,CORP,58975493,,4,0.0061,4,0.0061,302166,602166.4,527165.6,277653.5,0,1
12/31/2022,CORP,58159085,,2,0.001263,1,0.0007,9744762,29744762,20039672,,0,1
12/31/2022,CORP,36676241,,3,0.0024,3,0.0024,178887,578887,478887,133791.6,0,1
12/31/2022,CORP,91688817,,4,0.0057,4,0.0057,0,200000,150000,84479.9,0,1
12/31/2022,CORP,53831689,,3,0.003489,3,0.003489,8832690,10032690,5823250,3480602,0,1
12/31/2022,CORP,15139437,,5,0.0113,5,0.0113,3573363.1,24654098.1,18963678.6,20096134,0,1
12/31/2022,CORP,88424590,,5,0.008432,5,0.008432,732303,1200000,240000,123337.13,0,1
12/31/2022,CORP,39141438,,2,0.0015,2,0.0015,622016.2,787976.2,746486.2,249306.3,0,1
12/31/2022,CORP,49541580,,3,0.0034,3,0.0034,0,400000,300000,121703,0,1
12/31/2022,CORP,54685549,,2,0.0014,2,0.0014,0,300000,225000,61676,0,1
12/31/2022,CORP,80114595,,3,0.0039,3,0.0039,373019,466714.2,443290.4,138167.3,0,1
12/31/2022,CORP,77228012,,5,0.0113,5,0.0113,18380155.7,18380155.7,18380155.7,15649113.9,0,1
12/31/2022,CORP,83990763,,4,0.0057,5,0.0113,16818409.88,56660009.88,36982384.88,40579005.24,0,1
12/31/2022,CORP,36340360,,4,0.0078,4,0.0078,0,300000,225000,98803.3,0,1
12/31/2022,CORP,99613781,,3,0.0034,3,0.0034,162991,162991,162991,65316.6,0,1
12/31/2022,CORP,46419716,,5,0.009281,5,0.009281,793085,850243.4,835953.8,610140.8,0,1
12/31/2022,CORP,25271610,,3,0.0028,3,0.0028,429549.2,800382.2,707674.2,285159.9,0,1
12/31/2022,CORP,17991993,,8,0.0905,8,0.0905,3753028,3985052,3927046,4179510,0,1
12/31/2022,CORP,45290001,,6,0.016875,8,0.0905,2977107.8,3082294.8,3055998.1,4367783.3,0,1
12/31/2022,CORP,82247775,,4,0.0057,4,0.0057,7105630,11105630,10105630,6507080,0,1
